TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:06.682423;190-0-175-100.gba.solunet.com.ar.2533;184.107.43.74.http:;[S],;1109408249:1109408369,;Vide;512,;Vide;120:
11:42:06.682439;190-0-175-100.gba.solunet.com.ar.2534;184.107.43.74.http:;[S],;1283855019:1283855139,;Vide;512,;Vide;120:
11:42:06.682455;190-0-175-100.gba.solunet.com.ar.2535;184.107.43.74.http:;[S],;623143483:623143603,;Vide;512,;Vide;120:
11:42:06.682472;190-0-175-100.gba.solunet.com.ar.2536;184.107.43.74.http:;[S],;709005792:709005912,;Vide;512,;Vide;120:
11:42:06.682488;190-0-175-100.gba.solunet.com.ar.2537;184.107.43.74.http:;[S],;1528805205:1528805325,;Vide;512,;Vide;120:
11:42:06.682504;190-0-175-100.gba.solunet.com.ar.2538;184.107.43.74.http:;[S],;940059508:940059628,;Vide;512,;Vide;120:
11:42:06.682521;190-0-175-100.gba.solunet.com.ar.2539;184.107.43.74.http:;[S],;1190337142:1190337262,;Vide;512,;Vide;120:
11:42:06.682537;190-0-175-100.gba.solunet.com.ar.2540;184.107.43.74.http:;[S],;1484037464:1484037584,;Vide;512,;Vide;120:
11:42:06.682553;190-0-175-100.gba.solunet.com.ar.2541;184.107.43.74.http:;[S],;566224598:566224718,;Vide;512,;Vide;120:
11:42:06.682570;190-0-175-100.gba.solunet.com.ar.2542;184.107.43.74.http:;[S],;788308167:788308287,;Vide;512,;Vide;120:
11:42:06.682586;190-0-175-100.gba.solunet.com.ar.2543;184.107.43.74.http:;[S],;96067834:96067954,;Vide;512,;Vide;120:
11:42:06.682602;190-0-175-100.gba.solunet.com.ar.2544;184.107.43.74.http:;[S],;1226579504:1226579624,;Vide;512,;Vide;120:
11:42:06.682619;190-0-175-100.gba.solunet.com.ar.2545;184.107.43.74.http:;[S],;1551737466:1551737586,;Vide;512,;Vide;120:
11:42:06.682635;190-0-175-100.gba.solunet.com.ar.2546;184.107.43.74.http:;[S],;368629672:368629792,;Vide;512,;Vide;120:
11:42:06.682652;190-0-175-100.gba.solunet.com.ar.2547;184.107.43.74.http:;[S],;527715727:527715847,;Vide;512,;Vide;120:
11:42:06.682668;190-0-175-100.gba.solunet.com.ar.2548;184.107.43.74.http:;[S],;1897998019:1897998139,;Vide;512,;Vide;120:
11:42:06.682684;190-0-175-100.gba.solunet.com.ar.2549;184.107.43.74.http:;[S],;1187006652:1187006772,;Vide;512,;Vide;120:
11:42:06.682700;190-0-175-100.gba.solunet.com.ar.2550;184.107.43.74.http:;[S],;836414851:836414971,;Vide;512,;Vide;120:
11:42:06.682717;190-0-175-100.gba.solunet.com.ar.2551;184.107.43.74.http:;[S],;97200857:97200977,;Vide;512,;Vide;120:
11:42:06.682733;190-0-175-100.gba.solunet.com.ar.2552;184.107.43.74.http:;[S],;964382000:964382120,;Vide;512,;Vide;120:
11:42:06.682749;190-0-175-100.gba.solunet.com.ar.2553;184.107.43.74.http:;[S],;64311516:64311636,;Vide;512,;Vide;120:
11:42:06.682765;190-0-175-100.gba.solunet.com.ar.2554;184.107.43.74.http:;[S],;1940462409:1940462529,;Vide;512,;Vide;120:
11:42:06.682782;190-0-175-100.gba.solunet.com.ar.2555;184.107.43.74.http:;[S],;709004881:709005001,;Vide;512,;Vide;120:
11:42:06.682798;190-0-175-100.gba.solunet.com.ar.2556;184.107.43.74.http:;[S],;1783812004:1783812124,;Vide;512,;Vide;120:
11:42:06.682814;190-0-175-100.gba.solunet.com.ar.2557;184.107.43.74.http:;[S],;2027959598:2027959718,;Vide;512,;Vide;120:
